"Cyrillic","Latin"
"А","A"
"Б","B"
"В","V"
"Г","G"
"Д","D"
"Е","E"
"Ж","Ž"
"З","Z"
"И","I"
"Й","J"
"К","K"
"Л","L"
"М","M"
"Н","N"
"О","O"
"П","P"
"Р","R"
"С","S"
"Т","T"
"У","U"
"Ф","F"
"Х","CH"
"Ц","C"
"Ч","Č"
"Ш","Š"
"Щ","ŠČ"
"Ъ",""""
"Ы","Y"
"Ь","'"
"Э","Ė"
"Ю","JU"
"Я","JA"
"а","a"
"б","b"
"в","v"
"г","g"
"д","d"
"е","e"
"ж","ž"
"з","z"
"и","i"
"й","j"
"к","k"
"л","l"
"м","m"
"н","n"
"о","o"
"п","p"
"р","r"
"с","s"
"т","t"
"у","u"
"ф","f"
"х","x"
"ц","c"
"ч","č"
"ш","š"
"щ","šč"
"ъ",""""
"ы","y"
"ь","'"
"э","ė"
"ю","ju"
"я","ja"